state_fips,county_fips,year,race,age_adjusted_rate,weight
48,321,2006,0,4411.7,191.68463683874094
48,321,2005,0,4735.2,192.69665279915995
48,321,2004,0,4757.1,193.3597683076808
48,321,2003,0,6163.5,194.1520023074704
48,321,2002,0,5901.6,194.06699874012583
48,321,2001,0,5870.2,194.43250757010773
48,321,2000,0,5874,194.60986614249546
48,321,1999,0,5396,194.66381276446836
48,323,2017,0,4472.7,0
48,323,2016,0,4225.9,240.17701805126984
48,323,2015,0,4759.7,239.66643486312387
48,323,2014,0,4495.6,238.56864840125158
48,323,2013,0,4459.8,237.51842033829712
48,323,2012,0,4448.8,236
48,323,2011,0,4857.1,235.10423220350586
48,323,2010,0,4253.2,233.4287899981491
48,323,2009,0,4517.7,231.1579546543878
48,323,2008,0,5069.5,228.45130772223652
48,323,2007,0,4138,226.64289090990698
48,323,2006,0,4489.7,225.72328191837013
48,323,2005,0,5098.1,223.91962843841983
48,323,2004,0,4056.1,222.77118305561876
48,323,2003,0,4324.9,221.63709075874462
48,323,2002,0,4393.4,220.01818106692912
48,323,2001,0,4791.6,218.16049138191818
48,323,2000,0,4277.4,217.58446635732065
48,323,1999,0,4924.3,216.6679487141557
48,325,2017,0,4123.2,0
48,325,2016,0,4226.2,221.99774773632276
48,325,2015,0,4613.4,219.9659064491586
48,325,2014,0,4346.7,218.74185699129464
48,325,2013,0,4456.4,217.41895041601134
48,325,2012,0,4254.2,216.3584987930911
48,325,2011,0,4156,215.68263722423276
48,325,2010,0,4549.6,214.77662815120271
48,325,2009,0,4115.2,213.55327204236417
48,325,2008,0,4995.2,212.44057992765883
48,325,2007,0,4668.8,211.1326597189549
48,325,2006,0,4481,209.60916010518244
48,325,2005,0,4879.2,207.30894819085836
48,325,2004,0,5045.2,205.82273926852687
48,325,2003,0,4687.2,203.83571816538927
48,325,2002,0,4765.7,201.75975812832448
48,325,2001,0,4847.2,200.1324561384285
48,325,2000,0,5528.5,198.7058126980688
48,325,1999,0,4321.1,196.71553065276774
48,327,2016,0,4553,46.07602413403309
48,327,2015,0,4224.7,46.46504062195577
48,327,2014,0,5325.7,46.411205543489174
48,327,2013,0,NA,46.389654018972806
48,327,2012,0,4361,47.19110085598767
48,327,2011,0,3802.6,47.148700936505136
48,327,2010,0,4989.7,47.286361670147556
48,327,2009,0,NA,47.19110085598767
48,327,2008,0,6399.8,47.085029467974216
48,327,2007,0,5474.6,46.647615158762406
48,327,2006,0,5511.7,46.89349635077342
48,327,2005,0,4152.6,47.031904065219386
48,327,2004,0,3944.5,47.59201613716318
48,327,2003,0,4929.1,48.07286136688766
48,327,2002,0,4719.1,48.373546489791295
48,327,2001,0,4575.1,48.176757881783615
48,327,2000,0,5268.6,48.394214530251446
48,327,1999,0,5486.6,48.45616575834287
48,329,2017,0,4272.9,0
48,329,2016,0,4427.5,403.1935019317648
48,329,2015,0,4489.6,401.5868523744272
48,329,2014,0,4293.3,395.04303563029686
48,329,2013,0,4411.6,389.93845668258984
48,329,2012,0,4129.1,383.5870175071101
